Year,Type,Country,Activity,Sex,Fatal,Sharks,Month
2017,UNPROVOKED,USA,Feeding sharks,Male,NO,Other sharks,may
2017,PROVOKED,AUSTRALIA,Attempting to lasso a shark,Male,NO,Other sharks,may
2017,UNPROVOKED,AUSTRALIA,Surfing,Female,YES,White shark,apr
2017,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,apr
2017,UNPROVOKED,USA,Swimming,Female,NO,Other sharks,apr
2017,BOAT,USA,Kayaking,Male,NO,White shark,mar
2017,UNPROVOKED,PHILIPPINES,Spearfishing,Male,NO,Other sharks,mar
2017,UNPROVOKED,BAHAMAS,Washing hands,Male,NO,Other sharks,mar
2017,UNPROVOKED,AUSTRALIA,Snorkeling,Female,NO,Other sharks,feb
2017,PROVOKED,BRAZIL,Grabbing shark for a selfie,Female,NO,Other sharks,feb
2017,BOAT,SOUTH AFRICA,Kayak fishing,Male,NO,Other sharks,feb
2017,UNPROVOKED,BAHAMAS,Scuba Diving,Male,NO,Other sharks,feb
2017,UNPROVOKED,AUSTRALIA,Scuba Diving,Male,NO,Other sharks,jan
2017,UNPROVOKED,INDONESIA,Surfing,Male,NO,Other sharks,jan
2016,UNPROVOKED,AUSTRALIA,Snorkeling,Female,NO,Other sharks,dec
2016,UNPROVOKED,SOUTH AFRICA,Surf skiing ,Male,NO,White shark,dec
2016,PROVOKED,AUSTRALIA,Surf fishing,Male,NO,Other sharks,dec
2016,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,dec
2016,PROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,nov
2016,UNPROVOKED,USA,Floating,Female,NO,Other sharks,nov
2016,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2016,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,sep
2016,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,sep
2016,UNPROVOKED,USA,Wading,Male,NO,Other sharks,sep
2016,UNPROVOKED,USA,Swimming,Female,NO,Other sharks,sep
2016,UNPROVOKED,USA,Spearfishing,Male,NO,White shark,sep
2016,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,aug
2016,UNPROVOKED,REUNION,Surfing,Male,NO,Other sharks,aug
2016,UNPROVOKED,USA,SUP Foil boarding,Male,NO,Other sharks,aug
2016,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,aug
2016,UNPROVOKED,SPAIN,Swimming,Male,NO,Other sharks,jul
2016,BOAT,AUSTRALIA,Kayaking,Male,NO,White shark,jul
2016,PROVOKED,USA,Lobstering,Male,NO,Other sharks,jul
2016,UNPROVOKED,BAHAMAS,Spearfishing,Male,NO,Other sharks,jul
2016,PROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,jul
2016,UNPROVOKED,USA,Kite surfing,Male,NO,White shark,jul
2016,UNPROVOKED,BAHAMAS,Scuba Diving,Male,NO,Other sharks,jul
2016,UNPROVOKED,SPAIN,Wading,Female,NO,Other sharks,jul
2016,BOAT,USA,Fishing for squid,Male,NO,White shark,jul
2016,PROVOKED,USA,Fishing,Male,NO,Other sharks,jul
2016,BOAT,USA,Fishing for sharks,Male,NO,White shark,jul
2016,PROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,jul
2016,UNPROVOKED,COLUMBIA,Scuba Diving,Male,NO,Other sharks,jun
2016,UNPROVOKED,SOUTH AFRICA,Spearfishing,Male,NO,White shark,jun
2016,UNPROVOKED,USA,Floating,Male,NO,Other sharks,jun
2016,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,jun
2016,PROVOKED,AUSTRALIA,Spearfishing,Male,NO,Other sharks,jun
2016,UNPROVOKED,USA,Floating in tube,Female,NO,Other sharks,jun
2016,UNPROVOKED,USA,Standing,Male,NO,Other sharks,jun
2016,UNPROVOKED,AUSTRALIA,Diving,Female,YES,Other sharks,jun
2016,UNPROVOKED,EGYPT,Swimming,Male,NO,Other sharks,jun
2016,UNPROVOKED,NEW CALEDONIA,Kite surfing,Male,NO,Other sharks,jun
2016,UNPROVOKED,AUSTRALIA,Surfing,Male,YES,White shark,may
2016,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,may
2016,UNPROVOKED,USA,Swimming,Female,NO,Other sharks,may
2016,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,may
2016,PROVOKED,USA,Teasing a shark,Female,NO,Other sharks,may
2016,PROVOKED,NEW ZEALAND,Fishing,Male,NO,Other sharks,may
2016,UNPROVOKED,INDONESIA,Surfing,Male,NO,Other sharks,apr
2016,UNPROVOKED,SOUTH AFRICA,Surf-skiing,Male,NO,White shark,apr
2016,UNPROVOKED,AUSTRALIA,Swimming,Male,NO,Other sharks,apr
2016,PROVOKED,FRENCH POLYNESIA,Spearfishing,Male,NO,Other sharks,apr
2016,UNPROVOKED,USA,Spearfishing,Male,NO,Other sharks,apr
2016,UNPROVOKED,NEW CALEDONIA,Walking,Female,YES,Other sharks,apr
2016,UNPROVOKED,USA,Fishing,Male,NO,Other sharks,apr
2016,UNPROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,mar
2016,UNPROVOKED,BRAZIL,Swimming,Male,NO,Other sharks,mar
2016,UNPROVOKED,BRAZIL,Swimming,Male,NO,Other sharks,feb
2016,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,jan
2016,UNPROVOKED,USA,Spearfishing,Male,NO,Other sharks,jan
2016,BOAT,UNITED ARAB EMIRATES,Fishing,Male,NO,Other sharks,jan
2016,UNPROVOKED,USA,Paddle boarding,Male,NO,Other sharks,jan
2016,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,jan
2016,UNPROVOKED,AUSTRALIA,Wading,Male,NO,Other sharks,jan
2016,UNPROVOKED,AUSTRALIA,Spearfishing,Male,NO,Other sharks,jan
2015,BOAT,SOUTH AFRICA,Kayak Fishing,Male,NO,White shark,dec
2015,UNPROVOKED,SPAIN,Swimming,Female,NO,Other sharks,dec
2015,UNPROVOKED,USA,Paddle boarding,Male,NO,Other sharks,dec
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,dec
2015,UNPROVOKED,BRAZIL,Scuba diving,Male,NO,Other sharks,dec
2015,UNPROVOKED,BAHAMAS,Lobster fishing,Male,NO,Other sharks,dec
2015,UNPROVOKED,ECUADOR,Snorkeling,Male,NO,Other sharks,nov
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,nov
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,nov
2015,UNPROVOKED,USA,Wading,Female,NO,Other sharks,nov
2015,UNPROVOKED,SOUTH AFRICA,Surfing,Male,NO,White shark,oct
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2015,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,oct
2015,BOAT,USA,Kayak Fishing,Male,NO,Other sharks,oct
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2015,UNPROVOKED,USA,Wading,Male,NO,Other sharks,oct
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,sep
2015,BOAT,USA,Kayak fishing,Male,NO,White shark,sep
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,sep
2015,UNPROVOKED,USA,Spearfishing,Male,NO,Other sharks,sep
2015,UNPROVOKED,USA,Wading,Male,NO,Other sharks,sep
2015,BOAT,USA,Kayak Fishing,Male,NO,Other sharks,sep
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,sep
2015,UNPROVOKED,USA,Stand-Up Paddleboarding,Female,NO,White shark,sep
2015,PROVOKED,USA,Kayak Fishing,Male,NO,Other sharks,sep
2015,UNPROVOKED,AUSTRALIA,Surf-skiing,Male,NO,White shark,sep
2015,UNPROVOKED,THAILAND,Wading,Female,NO,Other sharks,sep
2015,UNPROVOKED,USA,Surfing,Female,NO,White shark,aug
2015,UNPROVOKED,USA,Surfing,Male,NO,White shark,aug
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,aug
